0,[2015],[40],[14024],1,1,"[0, 14024, 14024, [14024, 14024, 14024, 0, 14024]]","[0, 1, 0, 0, 0]",52.0
1,[2013],[40],[11866],1,15,"[11866, 11866, 11866, [11866, 0, 11866, 11866, 11866]]","[5, 3, 2, 3, 2]",37.0
2,"[2015, 2014, 2013, 2012]","[40, 40, 40, 40]","[11509, 12219, 11986, 12800]",4,5,"[12335, 12128, 12128, [11904, 12176, 12098, 12335, 12128]]","[0, 2, 1, 1, 1]",42.0
3,[2015],[40],[15360],1,1,"[0, 15360, 15360, [15360, 15360, 15360, 0, 15360]]","[0, 1, 0, 0, 0]",16.0
4,[2014],[40],[17396],1,1,"[17396, 17396, 17396, [17396, 17396, 0, 17396, 17396]]","[0, 0, 1, 0, 0]",32.0
6,[2013],[40],[15369],1,1,"[15369, 15369, 15369, [15369, 0, 15369, 15369, 15369]]","[0, 0, 0, 1, 0]",27.0
7,[2015],[40],[15423],1,2,"[0, 15423, 15423, [15423, 15423, 15423, 0, 15423]]","[0, 2, 0, 0, 0]",32.0
8,[2015],[40],[21660],1,1,"[0, 21660, 21660, [21660, 21660, 21660, 0, 21660]]","[0, 1, 0, 0, 0]",32.0
9,[2015],[40],[17951],1,1,"[0, 17951, 17951, [17951, 17951, 17951, 0, 17951]]","[0, 1, 0, 0, 0]",37.0
10,[2015],[40],[15891],1,1,"[0, 15891, 15891, [15891, 15891, 15891, 0, 15891]]","[0, 1, 0, 0, 0]",37.0
11,[2012],[40],[12171],1,4,"[12171, 12171, 12171, [0, 12171, 12171, 12171, 12171]]","[0, 1, 1, 1, 1]",37.0
12,[2014],[40],[18248],1,1,"[18248, 18248, 18248, [18248, 18248, 0, 18248, 18248]]","[0, 0, 1, 0, 0]",47.0
13,[2013],[40],[15291],1,1,"[15291, 15291, 15291, [15291, 0, 15291, 15291, 15291]]","[0, 0, 0, 1, 0]",52.0
14,[2014],[40],[18147],1,1,"[18147, 18147, 18147, [18147, 18147, 0, 18147, 18147]]","[0, 0, 1, 0, 0]",27.0
15,[2015],[40],[12154],1,1,"[0, 12154, 12154, [12154, 12154, 12154, 0, 12154]]","[0, 1, 0, 0, 0]",47.0
16,[2013],[40],[14108],1,1,"[14108, 14108, 14108, [14108, 0, 14108, 14108, 14108]]","[0, 0, 0, 1, 0]",32.0
17,[2012],[40],[16574],1,9,"[16574, 16574, 16574, [0, 16574, 16574, 16574, 16574]]","[0, 0, 2, 5, 2]",37.0
18,[2013],[40],[15244],1,8,"[15244, 15244, 15244, [15244, 0, 15244, 15244, 15244]]","[0, 0, 3, 2, 3]",37.0
20,[2015],[40],[20917],1,1,"[0, 20917, 20917, [20917, 20917, 20917, 0, 20917]]","[0, 1, 0, 0, 0]",42.0
21,[2013],[40],[16367],1,1,"[16367, 16367, 16367, [16367, 0, 16367, 16367, 16367]]","[0, 0, 0, 1, 0]",52.0
22,[2013],[40],[14669],1,3,"[14669, 14669, 14669, [14669, 0, 14669, 14669, 14669]]","[0, 0, 1, 2, 0]",27.0
23,[2014],[40],[21413],1,5,"[21413, 21413, 21413, [21413, 21413, 0, 21413, 21413]]","[0, 2, 2, 1, 0]",37.0
24,[2015],[40],[15895],1,1,"[0, 15895, 15895, [15895, 15895, 15895, 0, 15895]]","[0, 1, 0, 0, 0]",42.0
25,[2015],[40],[17360],1,6,"[0, 17360, 17360, [17360, 17360, 17360, 0, 17360]]","[0, 2, 4, 0, 0]",52.0
26,[2015],[40],[20803],1,1,"[0, 20803, 20803, [20803, 20803, 20803, 0, 20803]]","[0, 1, 0, 0, 0]",47.0
27,[2015],[40],[13884],1,1,"[0, 13884, 13884, [13884, 13884, 13884, 0, 13884]]","[0, 1, 0, 0, 0]",47.0
28,[2012],[40],[12640],1,1,"[12640, 12640, 12640, [0, 12640, 12640, 12640, 12640]]","[0, 0, 0, 0, 1]",42.0
29,[2014],[40],[16082],1,1,"[16082, 16082, 16082, [16082, 16082, 0, 16082, 16082]]","[0, 0, 1, 0, 0]",47.0
31,[2015],[40],[12759],1,1,"[0, 12759, 12759, [12759, 12759, 12759, 0, 12759]]","[0, 1, 0, 0, 0]",21.0
33,[2014],[40],[23482],1,1,"[23482, 23482, 23482, [23482, 23482, 0, 23482, 23482]]","[0, 0, 1, 0, 0]",42.0
34,[2014],[40],[14529],1,8,"[14201, 14201, 14201, [14201, 14201, 13874, 14201, 14201]]","[0, 4, 4, 0, 0]",37.0
36,[2015],[40],[-1],1,1,"[0, -1, -1, [-1, -1, -1, 0, -1]]","[0, 1, 0, 0, 0]",42.0
37,[2015],[40],[17176],1,1,"[0, 17176, 17176, [17176, 17176, 17176, 0, 17176]]","[0, 1, 0, 0, 0]",32.0
39,[2015],[40],[20691],1,1,"[0, 20691, 20691, [20691, 20691, 20691, 0, 20691]]","[0, 1, 0, 0, 0]",42.0
40,[2013],[40],[13372],1,15,"[13372, 13372, 13372, [13372, 0, 13372, 13372, 13372]]","[2, 4, 3, 5, 1]",32.0
41,[2012],[40],[15890],1,1,"[15890, 15890, 15890, [0, 15890, 15890, 15890, 15890]]","[0, 0, 0, 0, 1]",32.0
42,[2014],[40],[16010],1,1,"[16010, 16010, 16010, [16010, 16010, 0, 16010, 16010]]","[0, 0, 1, 0, 0]",42.0
43,[2014],[40],[13555],1,2,"[13555, 13555, 13555, [13555, 13555, 0, 13555, 13555]]","[0, 0, 1, 1, 0]",27.0
44,[2013],[40],[17733],1,1,"[17733, 17733, 17733, [17733, 0, 17733, 17733, 17733]]","[0, 0, 0, 1, 0]",47.0
45,[2015],[40],[15693],1,1,"[0, 15693, 15693, [15693, 15693, 15693, 0, 15693]]","[0, 1, 0, 0, 0]",47.0
46,[2013],[40],[16465],1,20,"[16465, 16465, 16465, [16465, 0, 16465, 16465, 16465]]","[1, 4, 6, 9, 0]",52.0
47,[2015],[40],[15501],1,1,"[0, 15501, 15501, [15501, 15501, 15501, 0, 15501]]","[0, 1, 0, 0, 0]",32.0
48,[2014],[40],[15810],1,5,"[15810, 15810, 15810, [15810, 15810, 0, 15810, 15810]]","[0, 0, 3, 2, 0]",62.0
49,[2015],[40],[16264],1,1,"[0, 16264, 16264, [16264, 16264, 16264, 0, 16264]]","[0, 1, 0, 0, 0]",42.0
50,[2015],[40],[24831],1,1,"[0, 24831, 24831, [24831, 24831, 24831, 0, 24831]]","[0, 1, 0, 0, 0]",47.0
51,[2015],[40],[19195],1,1,"[0, 19195, 19195, [19195, 19195, 19195, 0, 19195]]","[0, 1, 0, 0, 0]",27.0
52,[2012],[40],[11663],1,5,"[11663, 11663, 11663, [0, 11663, 11663, 11663, 11663]]","[0, 0, 0, 2, 3]",27.0
53,[2013],[40],[15416],1,8,"[15416, 15416, 15416, [15416, 0, 15416, 15416, 15416]]","[1, 0, 2, 2, 3]",32.0
54,[2015],[40],[23653],1,1,"[0, 23653, 23653, [23653, 23653, 23653, 0, 23653]]","[0, 1, 0, 0, 0]",37.0
55,[2014],[40],[24623],1,1,"[24623, 24623, 24623, [24623, 24623, 0, 24623, 24623]]","[0, 0, 1, 0, 0]",32.0
56,[2013],[40],[12347],1,3,"[12347, 12347, 12347, [12347, 0, 12347, 12347, 12347]]","[2, 0, 0, 1, 0]",27.0
57,[2015],[40],[13555],1,1,"[0, 13555, 13555, [13555, 13555, 13555, 0, 13555]]","[0, 1, 0, 0, 0]",32.0
58,[2014],[40],[16371],1,1,"[16371, 16371, 16371, [16371, 16371, 0, 16371, 16371]]","[0, 0, 1, 0, 0]",27.0
59,[2014],[40],[15003],1,2,"[15003, 15003, 15003, [15003, 15003, 0, 15003, 15003]]","[0, 0, 2, 0, 0]",27.0
60,[2012],[40],[13564],1,1,"[13564, 13564, 13564, [0, 13564, 13564, 13564, 13564]]","[0, 0, 0, 0, 1]",32.0
61,"[2014, 2013]","[40, 40]","[13747, 13625]",2,3,"[13686, 13686, 13686, [13686, 13747, 13625, 13686, 13686]]","[0, 0, 1, 1, 1]",27.0
62,[2015],[40],[19353],1,1,"[0, 19353, 19353, [19353, 19353, 19353, 0, 19353]]","[0, 1, 0, 0, 0]",42.0
63,[2015],[40],[17404],1,1,"[0, 17404, 17404, [17404, 17404, 17404, 0, 17404]]","[0, 1, 0, 0, 0]",32.0
64,[2012],[40],[13690],1,3,"[13690, 13690, 13690, [0, 13690, 13690, 13690, 13690]]","[0, 0, 1, 1, 1]",37.0
65,[2014],[40],[13124],1,5,"[13124, 13124, 13124, [13124, 13124, 0, 13124, 13124]]","[0, 0, 3, 2, 0]",47.0
66,"[2014, 2013, 2012]","[40, 40, 40]","[13071, 12815, 12739]",3,9,"[12875, 12875, 12875, [12943, 12905, 12777, 12875, 12875]]","[0, 2, 2, 2, 3]",52.0
67,[2015],[40],[13942],1,1,"[0, 13942, 13942, [13942, 13942, 13942, 0, 13942]]","[0, 1, 0, 0, 0]",21.0
68,[2013],[40],[18656],1,1,"[18656, 18656, 18656, [18656, 0, 18656, 18656, 18656]]","[0, 0, 0, 1, 0]",47.0
69,[2012],[40],[12775],1,2,"[12775, 12775, 12775, [0, 12775, 12775, 12775, 12775]]","[0, 0, 0, 1, 1]",32.0
71,[2015],[40],[17256],1,1,"[0, 17256, 17256, [17256, 17256, 17256, 0, 17256]]","[0, 1, 0, 0, 0]",42.0
74,[2015],[40],[21265],1,1,"[0, 21265, 21265, [21265, 21265, 21265, 0, 21265]]","[0, 1, 0, 0, 0]",27.0
75,[2015],[40],[13533],1,2,"[0, 13533, 13533, [13533, 13533, 13533, 0, 13533]]","[0, 2, 0, 0, 0]",37.0
76,[2014],[40],[16979],1,2,"[16979, 16979, 16979, [16979, 16979, 0, 16979, 16979]]","[1, 0, 1, 0, 0]",37.0
78,[2015],[40],[16110],1,1,"[0, 16110, 16110, [16110, 16110, 16110, 0, 16110]]","[0, 1, 0, 0, 0]",37.0
79,[2015],[40],[20291],1,1,"[0, 20291, 20291, [20291, 20291, 20291, 0, 20291]]","[0, 1, 0, 0, 0]",52.0
80,[2015],[40],[27510],1,1,"[0, 27510, 27510, [27510, 27510, 27510, 0, 27510]]","[0, 1, 0, 0, 0]",52.0
81,[2014],[40],[-1],1,2,"[-1, -1, -1, [-1, -1, 0, -1, -1]]","[0, 0, 1, 1, 0]",32.0
82,[2014],[40],[17382],1,1,"[17382, 17382, 17382, [17382, 17382, 0, 17382, 17382]]","[0, 0, 1, 0, 0]",52.0
84,[2012],[40],[14228],1,5,"[14228, 14228, 14228, [0, 14228, 14228, 14228, 14228]]","[0, 0, 1, 1, 3]",27.0
85,[2014],[40],[18714],1,2,"[18714, 18714, 18714, [18714, 18714, 0, 18714, 18714]]","[0, 0, 2, 0, 0]",52.0
86,[2014],[40],[25969],1,1,"[25969, 25969, 25969, [25969, 25969, 0, 25969, 25969]]","[0, 0, 1, 0, 0]",32.0
