0,['2015'],['40'],['03:53:44'],M50-54,1,03:53:44,1
2,['2015'],['40'],['03:11:49'],M40-44,4,3:25:35,5
3,['2015'],['40'],['04:16:00'],M15-17,1,04:16:00,1
5,['2015'],['1'],['00:04:59'],M45-49,1,00:04:59,1
7,['2015'],['40'],['04:17:03'],M30-34,1,04:17:03,2
8,['2015'],['40'],['06:01:00'],F30-34,1,06:01:00,1
9,['2015'],['40'],['04:59:11'],F35-39,1,04:59:11,1
10,['2015'],['40'],['04:24:51'],M35-39,1,04:24:51,1
15,['2015'],['40'],['03:22:34'],M45-49,1,03:22:34,1
19,['2015'],['10'],['01:52:28'],F40-44,1,01:52:28,1
20,['2015'],['40'],['05:48:37'],M40-44,1,05:48:37,1
23,['2015'],['20'],['02:08:05'],F35-39,2,5:56:53,5
24,['2015'],['40'],['04:24:55'],M40-44,1,04:24:55,1
25,['2015'],['40'],['04:49:20'],F50-54,1,04:49:20,6
26,['2015'],['40'],['05:46:43'],M45-49,1,05:46:43,1
27,['2015'],['40'],['03:51:24'],M45-49,1,03:51:24,1
30,['2015'],['20'],['03:17:01'],F30-34,1,03:17:01,1
31,['2015'],['40'],['03:32:39'],M18-24,1,03:32:39,1
32,['2015'],['10'],['00:47:22'],F55-59,1,00:47:22,2
35,['2015'],['20'],['03:00:05'],M40-44,1,03:00:05,1
36,['2015'],['40'],['-1'],M40-44,1,-1,1
37,['2015'],['40'],['04:46:16'],M30-34,1,04:46:16,1
38,['2015'],['20'],['01:58:28'],M40-44,1,01:58:28,4
39,['2015'],['40'],['05:44:51'],F40-44,1,05:44:51,1
45,['2015'],['40'],['04:21:33'],M45-49,1,04:21:33,1
47,['2015'],['40'],['04:18:21'],F30-34,1,04:18:21,1
49,['2015'],['40'],['04:31:04'],M40-44,1,04:31:04,1
50,['2015'],['40'],['06:53:51'],M45-49,1,06:53:51,1
51,['2015'],['40'],['05:19:55'],F25-29,1,05:19:55,1
54,['2015'],['40'],['06:34:13'],F35-39,1,06:34:13,1
57,['2015'],['40'],['03:45:55'],M30-34,1,03:45:55,1
62,['2015'],['40'],['05:22:33'],M40-44,1,05:22:33,1
63,['2015'],['40'],['04:50:04'],F30-34,1,04:50:04,1
66,['2015'],['20'],['01:43:26'],M50-54,4,3:34:35,9
67,['2015'],['40'],['03:52:22'],F18-24,1,03:52:22,1
70,['2015'],['20'],['01:54:42'],M25-29,1,01:54:42,1
71,['2015'],['40'],['04:47:36'],M40-44,1,04:47:36,1
72,['2015'],['20'],['02:26:44'],F35-39,1,02:26:44,2
73,['2015'],['20'],['01:49:56'],M40-44,1,01:49:56,1
74,['2015'],['40'],['05:54:25'],M25-29,1,05:54:25,1
75,['2015'],['40'],['03:45:33'],M35-39,1,03:45:33,2
77,['2015'],['20'],['01:50:23'],F50-54,1,01:50:23,2
78,['2015'],['40'],['04:28:30'],F35-39,1,04:28:30,1
79,['2015'],['40'],['05:38:11'],M50-54,1,05:38:11,1
80,['2015'],['40'],['07:38:30'],F50-54,1,07:38:30,1
87,['2015'],['10'],['01:07:35'],F35-39,1,01:07:35,2
88,['2015'],['5'],['00:54:26'],F35-39,1,00:54:26,1
89,['2015'],['40'],['04:35:43'],M30-34,1,04:35:43,1
90,['2015'],['40'],['03:34:42'],M40-44,1,03:34:42,1
95,['2015'],['10'],['01:22:27'],F30-34,2,01:22:27,2
99,['2015'],['40'],['05:43:50'],M35-39,1,05:43:50,2
100,['2015'],['20'],['02:17:29'],F45-49,2,4:36:55,4
109,['2015'],['20'],['01:52:00'],M50-54,1,01:52:00,2
110,['2015'],['40'],['04:05:36'],M18-24,1,04:05:36,1
112,['2015'],['20'],['03:49:14'],F25-29,1,03:49:14,1
113,['2015'],['40'],['04:56:24'],M35-39,1,04:56:24,1
115,['2015'],['40'],['05:31:53'],M35-39,1,05:31:53,1
117,['2015'],['40'],['05:40:50'],M40-44,1,05:40:50,4
118,['2015'],['20'],['02:27:32'],F18-24,1,02:27:32,1
119,['2015'],['20'],['01:42:45'],M50-54,1,01:42:45,1
122,['2015'],['10'],['00:48:48'],M30-34,2,4:3:19,6
124,['2015'],['40'],['04:07:51'],F45-49,1,04:07:51,2
129,['2015'],['40'],['04:04:03'],M45-49,1,04:04:03,5
135,['2015'],['20'],['01:58:52'],M25-29,1,01:58:52,1
136,['2015'],['1'],['00:08:23'],M35-39,1,00:08:23,1
138,['2015'],['40'],['05:56:24'],M40-44,1,05:56:24,1
139,['2015'],['40'],['05:19:51'],M60-64,1,05:19:51,1
140,['2015'],['40'],['04:33:01'],F40-44,4,4:13:51,9
143,['2015'],['40'],['03:49:20'],M18-24,1,03:49:20,1
144,['2015'],['40'],['05:09:20'],M35-39,1,05:09:20,1
146,['2015'],['20'],['02:03:29'],M25-29,1,02:03:29,1
147,['2015'],['40'],['04:05:53'],M18-24,1,04:05:53,1
148,['2015'],['40'],['04:57:54'],M50-54,3,5:22:42,3
151,['2015'],['20'],['02:00:12'],M18-24,1,02:00:12,1
152,['2015'],['40'],['03:38:36'],F18-24,2,3:55:35,2
154,['2015'],['40'],['06:00:50'],M30-34,1,06:00:50,2
155,['2015'],['40'],['04:18:41'],M25-29,1,04:18:41,1
156,['2015'],['20'],['02:34:39'],F40-44,1,02:34:39,2
157,['2015'],['20'],['01:39:04'],M45-49,3,3:29:45,18
158,['2015'],['20'],['03:09:48'],M30-34,1,03:09:48,2
162,['2015'],['20'],['02:58:49'],F35-39,3,4:34:26,5
163,['2015'],['40'],['-1'],M40-44,1,-1,1
164,['2015'],['20'],['02:21:22'],M50-54,1,02:21:22,1
166,['2015'],['40'],['04:02:12'],M40-44,1,04:02:12,1
174,['2015'],['40'],['06:40:45'],F45-49,1,06:40:45,1
175,['2015'],['40'],['06:28:48'],M25-29,1,06:28:48,1
176,['2015'],['40'],['04:02:45'],M40-44,2,4:37:2,2
177,['2015'],['10'],['01:06:15'],F25-29,1,01:06:15,1
178,['2015'],['20'],['02:40:57'],M30-34,1,02:40:57,1
179,['2015'],['1'],['00:05:21'],F55-59,1,00:05:21,1
180,['2015'],['20'],['01:58:56'],M30-34,1,01:58:56,1
182,['2015'],['40'],['04:08:25'],F50-54,1,04:08:25,1
184,['2015'],['40'],['04:32:49'],M25-29,1,04:32:49,1
185,['2015'],['40'],['04:55:13'],F40-44,2,4:10:44,8
188,['2015'],['40'],['06:15:44'],M18-24,1,06:15:44,1
189,['2015'],['40'],['-1'],M55-59,2,4:11:48,6
193,['2015'],['40'],['05:22:13'],M40-44,1,05:22:13,3
195,['2015'],['40'],['05:17:38'],M18-24,1,05:17:38,1
198,['2015'],['20'],['02:46:51'],F40-44,4,3:38:9,6
200,['2015'],['20'],['02:14:15'],M40-44,1,02:14:15,1
201,['2015'],['10'],['01:25:45'],M45-49,1,01:25:45,1
203,['2015'],['10'],['00:56:42'],M30-34,1,00:56:42,5
204,['2015'],['40'],['06:07:21'],M40-44,1,06:07:21,1
209,['2015'],['20'],['03:28:19'],F40-44,1,03:28:19,1
211,['2015'],['20'],['03:07:30'],F18-24,1,03:07:30,1
213,['2015'],['40'],['04:52:17'],M30-34,1,04:52:17,1
215,['2015'],['40'],['05:31:09'],F50-54,2,4:13:35,2
217,['2015'],['40'],['05:28:19'],M30-34,4,5:3:6,6
219,['2015'],['20'],['02:02:37'],F35-39,1,02:02:37,1
221,['2015'],['40'],['06:21:26'],M40-44,3,5:27:41,4
224,['2015'],['20'],['01:25:12'],M40-44,2,4:40:22,2
226,['2015'],['40'],['05:28:13'],M45-49,1,05:28:13,1
227,['2015'],['20'],['02:09:41'],F35-39,1,02:09:41,2
230,['2015'],['40'],['04:48:35'],M25-29,1,04:48:35,1
232,['2015'],['40'],['03:14:20'],M18-24,1,03:14:20,1
235,['2015'],['40'],['06:13:35'],F25-29,1,06:13:35,1
236,['2015'],['20'],['02:42:41'],F50-54,3,4:47:59,7
239,['2015'],['40'],['04:58:03'],M40-44,1,04:58:03,1
245,['2015'],['40'],['04:24:39'],M18-24,1,04:24:39,1
248,['2015'],['40'],['04:57:10'],F40-44,1,04:57:10,2
250,['2015'],['40'],['04:12:14'],F25-29,1,04:12:14,1
253,['2015'],['20'],['01:54:23'],M45-49,1,01:54:23,1
254,['2015'],['40'],['04:51:46'],M30-34,1,04:51:46,1
256,['2015'],['40'],['05:09:50'],M40-44,1,05:09:50,1
258,['2015'],['40'],['03:53:17'],M50-54,2,3:47:3,9
261,['2015'],['40'],['06:40:33'],F50-54,1,06:40:33,2
262,['2015'],['40'],['04:50:28'],M45-49,1,04:50:28,1
265,['2015'],['40'],['04:01:55'],M35-39,2,4:17:38,2
