17,2013-05-26,OTTAWARACEWEEKEND,OTTAWAMARATHON,-1,M35-39
46,2013-05-26,OTTAWARACEWEEKEND,OTTAWAMARATHON,-1,F50-54
66,2013-05-26,OTTAWARACEWEEKEND,OTTAWAMARATHON,-1,M45-49
140,2013-05-26,OTTAWARACEWEEKEND,OTTAWAMARATHON,-1,F35-39
145,2013-10-20,SCOTIABANKTORONTOWATERFRONTMARATHON,MARATHON,12079,M30-34
145,2013-05-26,OTTAWARACEWEEKEND,OTTAWAMARATHON,-1,M30-34
157,2013-05-26,OTTAWARACEWEEKEND,OTTAWAMARATHON,-1,M45-49
185,2013-08-25,MARATHONDESDEUXRIVESLÉVIS-QUÉBEC,MARATHON,15885,F40-49
189,2013-08-25,MARATHONDESDEUXRIVESLÉVIS-QUÉBEC,MARATHON,14674,M50-59
189,2013-05-26,OTTAWARACEWEEKEND,OTTAWAMARATHON,-1,M55-59
193,2013-08-25,MARATHONDESDEUXRIVESLÉVIS-QUÉBEC,MARATHON,16337,M30-39
197,2013-05-26,OTTAWARACEWEEKEND,OTTAWAMARATHON,-1,M35-39
205,2013-05-26,OTTAWARACEWEEKEND,OTTAWAMARATHON,-1,M40-44
206,2013-05-19,SCOTIABANKBLUENOSEMARATHON,SCOTIABANKFULLMARATHON,15724,F50-59
207,2013-05-26,OTTAWARACEWEEKEND,OTTAWAMARATHON,-1,M40-44
237,2013-05-26,OTTAWARACEWEEKEND,OTTAWAMARATHON,-1,M45-49
258,2013-05-26,OTTAWARACEWEEKEND,OTTAWAMARATHON,-1,M50-54
270,2013-05-26,OTTAWARACEWEEKEND,OTTAWAMARATHON,-1,M40-44
282,2013-05-26,OTTAWARACEWEEKEND,OTTAWAMARATHON,-1,M35-39
323,2013-05-26,OTTAWARACEWEEKEND,OTTAWAMARATHON,-1,M35-39
342,2013-10-27,NIAGARAFALLSINTERNATIONALMARATHON,MARATHON,13559,M55-59
379,2013-10-20,SCOTIABANKTORONTOWATERFRONTMARATHON,MARATHON,15597,M55-59
384,2013-10-20,SCOTIABANKTORONTOWATERFRONTMARATHON,MARATHON,9474,M45-49
