1,2014-06-28,DemiMarathondeSherbrooke,5KM,00:31:41,M30-39
1,2014-04-27,BanqueScotia21kmet5km,21KM,-1,M35-39
2,2014-09-28,MarathonOasisRock‘n’RolldeMontréal,MARATHON,03:23:39,M40-44
4,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:49:56,F30-34
11,2014-09-28,MarathonOasisRock‘n’RolldeMontréal,P'TITMARATHON1KMTEL-JEUNES,00:07:51,M13+
12,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:04:08,M45-49
14,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:02:27,F25-29
17,2014-08-24,Demi-marathonBonnevilledeLachine,DEMI-MARATHON,01:57:50,M30-39
17,2014-02-16,DemiMarathonHypothermique,DEMI-MARATHON,02:16:15,M30-39
18,2014-09-28,MarathonOasisRock‘n’RolldeMontréal,DEMI-MARATHON,02:34:17,F35-39
18,2014-05-25,TamarackOttawaRaceWeekend,SCOTIABANKOTTAWAHALFMARATHON,-1,F25-29
18,2014-05-24,TamarackOttawaRaceWeekend,HTGSPORTS5K,-1,F35-39
22,2014-05-25,TamarackOttawaRaceWeekend,SCOTIABANKOTTAWAMARATHON,-1,F25-29
23,2014-11-02,Coursed'OkaRace,21.1KM,02:06:28,F30-39
23,2014-09-28,MarathonOasisRock‘n’RolldeMontréal,MARATHON,05:56:53,F35-39
25,2014-09-21,LacoursedeFontainebleau,10KM,00:54:06,F50+
25,2014-09-21,LacoursedeFontainebleau,5KMCOURSE,00:26:58,F50+
25,2014-08-24,LaValsedescoureurs,10KM,00:55:44,F50-59
25,2014-06-01,Coursed'etedesilesdeBoucherville,10KM(COURSE),00:54:00,F50-59
29,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:28:02,M45-49
33,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,06:31:22,M40-44
34,2014-10-19,ScotiabankTorontoWaterfrontMarathon,MARATHON,03:51:14,M35-39
34,2014-09-28,MarathonOasisRock‘n’RolldeMontréal,MARATHON,04:02:09,M35-39
34,2014-06-08,LaGrandeVireedesSentiersSt-Bruno,20KM,01:40:58,M30-39
34,2014-04-27,BanqueScotia21kmet5km,21KM,01:43:09,M35-39
40,2014-08-17,IronmanMont-Tremblant,RESULTATS,11:20:10,M30-34
40,2014-06-22,IronmanMont-Tremblant70.3,OVERALL,05:12:30,M30-34
40,2014-05-25,TamarackOttawaRaceWeekend,SCOTIABANKOTTAWAHALFMARATHON,-1,M30-34
42,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:26:50,M40-44
43,2014-09-28,MarathonOasisRock‘n’RolldeMontréal,MARATHON,03:45:55,M25-29
46,2014-10-19,ClassiqueDuParcLaFontaine,5KM,00:27:58,F50-59
46,2014-08-24,LaValsedescoureurs,10KM,00:59:15,F50-59
46,2014-08-13,Le5kmEndurance,5KM,00:27:25,F50-59
