0,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:53:44,M50-54
1,2015-07-26,TrimemphréMagog,TRIATHLONSPRINT,01:19:08,M40-44
1,2015-06-27,Demi-MarathondeSherbrooke,5KM,00:17:39,M40-49
1,2015-04-26,BanqueScotia21KdeMontreal,5KM,00:19:17,M40-44
2,2015-09-20,MarathonOasisRock'n'RolldeMontreal,MARATHON,03:11:49,M40-44
2,2015-08-23,Demi-MarathonBonnevilledeLachine,21.1KM,01:30:29,M40-49
3,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:16:00,M15-17
5,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,1 km - P'tit Marathon,00:04:59,M13+
7,2015-09-20,MarathonOasisRock'n'RolldeMontreal,MARATHON,04:17:03,M30-34
7,2015-08-23,Demi-MarathonBonnevilledeLachine,21.1KM,-1,M30-39
8,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,06:01:00,F30-34
9,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:59:11,F35-39
10,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:24:51,M35-39
11,2015-05-24,TamarackOttawaRaceWeekend,OTTAWAHALFMARATHON,-1,M35-39
15,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:22:34,M45-49
19,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,10 km,01:52:28,F40-44
20,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:48:37,M40-44
23,2015-11-08,DEMI-MARATHONDESMICROBRASSERIES,10KM,01:11:43,F30-39
23,2015-09-20,MarathonOasisRock'n'RolldeMontreal,DEMI-MARATHON,02:08:05,F35-39
24,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:24:55,M40-44
25,2015-09-20,MarathonOasisRock'n'RolldeMontreal,MARATHON,04:49:20,F50-54
25,2015-05-31,COURSED’ÉTÉDESÎLESDEBOUCHERVILLE,10KMCOURSE,00:52:17,F50-59
26,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:46:43,M45-49
27,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:51:24,M45-49
30,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,03:17:01,F30-34
