1,2016-08-21,Ironman70.3Timberman,INDIVIDUAL,04:59:33,M40-44
1,2016-07-31,TrimemphréMagog,TRIATHLONSPRINT,01:15:04,M40-44
1,2016-06-27,Ironman70.3Mont-Tremblant,INDIVIDUEL,05:24:08,M40-44
1,2016-06-05,TriathlonChallengeAntoine-ManseauJoliette,TRIATHLONSPRINTAGCOUPEDUQUÉBEC,01:12:04,M40-44
1,2016-04-24,BanqueScotia21KdeMontreal,DEMIMARATHON,-1,M40-44
32,2016-08-17,Le5kmEndurance,5KM,00:23:00,F50-59
38,2016-05-01,DéficourseetmarcheDesjardinsSainteThérèse,10KM,01:05:46,M40-49
40,2016-07-10,Ironman70.3Muskoka,OVERALL,05:24:59,M30-34
40,2016-06-27,Ironman70.3Mont-Tremblant,INDIVIDUEL,05:16:12,M30-34
46,2016-04-24,BanqueScotia21KdeMontreal,DEMIMARATHON,-1,F50-54
53,2016-04-24,BanqueScotia21KdeMontreal,DEMIMARATHON,-1,M30-34
56,2016-06-19,Ironman70.3Syracuse,OVERALL,05:48:46,M30-34
56,2016-06-05,TriathlonChallengeAntoine-ManseauJoliette,TRIATHLONSPRINTAGOUVERT,01:16:58,M30-34
76,2016-06-19,CoursesThematiquesTourduLacBromeMerrell,20KM,01:50:18,NOAGE
99,2016-04-30,MarathondesÉrables,MARATHON,05:03:16,M30-39
117,2016-07-15,Demi-MarathondelaBandeduCanal,5KM,-1,M40-49
117,2016-04-30,MarathondesÉrables,30KM,03:16:18,M40-49
120,2016-05-08,DÉFIGÉRARD-CÔTÉ,5KMCOURSE/MARCHE,00:35:51,F30-39
121,2016-06-25,MudHeroMontreal,6KMOBSTACLECOURSE,01:15:57,M40-44
129,2016-09-11,TriathlonEspritdeMontreal,TRIATHLONOLYMPIQUE,-1,M45-49
132,2016-05-08,AurythmedenosfouléesChâteauguay,DEMI-MARATHON,02:12:25,F50-59
132,2016-02-21,DéfiHivernalIleBizard,10KM,00:57:45,F50-59
137,2016-08-21,VertleRaid-XCdelaVallee,21KM,03:50:00,M30-39
137,2016-05-29,TamarackOttawaRaceWeekend,OTTAWAHALFMARATHON,-1,M35-39
154,2016-06-18,TourduCapTourmenteSimard,21.1KM,02:06:59,M30-39
157,2016-03-20,CourseetmarchepopulairesdeLaSalle,10KM,00:43:34,M40-49
170,2016-06-25,ToughmanTupperLakeTinman,SPRINTTRIATHLON,01:30:51,M30-39
186,2016-04-24,BanqueScotia21KdeMontreal,DEMIMARATHON,-1,M35-39
190,2016-09-10,Ultra-TrailHarricanaduCanada(UTHC),UTHC28,-1,F30-39
202,2016-08-28,MarathonSSQLévis-Québec,MARATHON,-1,M55-59
202,2016-07-03,Demi-MarathondeSherbrooke,DEMIMARATHON,01:56:33,M50-59
205,2016-05-29,TamarackOttawaRaceWeekend,OTTAWAMARATHON,-1,M45-49
207,2016-08-28,MarathonSSQLévis-Québec,MARATHON,-1,M45-49
207,2016-06-11,VertleRaid-TRAILLaCliniqueDuCoureur,10KM,01:03:03,M40-49
249,2016-06-27,Ironman70.3Mont-Tremblant,INDIVIDUEL,06:27:57,F30-34
259,2016-04-24,BanqueScotia21KdeMontreal,DEMIMARATHON,-1,M40-44
270,2016-07-15,Demi-MarathondelaBandeduCanal,DEMI-MARATHON,01:46:42,M40-49
273,2016-07-09,Coursed'unsoird'etedeLongueuil,10KM,00:51:56,M60-69
282,2016-08-28,MarathonSSQLévis-Québec,MARATHON,-1,M40-44
282,2016-05-29,TamarackOttawaRaceWeekend,OTTAWAMARATHON,-1,M35-39
302,2016-09-10,Ultra-TrailHarricanaduCanada(UTHC),UTHC80,09:39:19,M12-29
302,2016-08-21,VertleRaid-XCdelaVallee,TRANS-VALLEE,-1,M18-29
302,2016-08-21,VertleRaid-XCdelaVallee,21KM,02:29:01,M18-29
302,2016-08-19,VertleRaid-XCdelaVallee,10KMDENUIT,00:52:10,M16-29
322,2016-05-29,TamarackOttawaRaceWeekend,OTTAWAMARATHON,-1,M35-39
327,2016-05-01,BMOVancouverMarathon,HALFMARATHON,02:14:47,F35-39
331,2016-06-27,Ironman70.3Mont-Tremblant,INDIVIDUEL,-1,M25-29
331,2016-06-12,LAGRANDEVIRÉEDESSENTIERS,20KM,01:40:29,M20-29
331,2016-05-29,TamarackOttawaRaceWeekend,OTTAWAMARATHON,-1,M25-29
331,2016-04-24,BanqueScotia21KdeMontreal,DEMIMARATHON,-1,M25-29
332,2016-09-04,CoursesThematiques30kmsurlesrivesdeBoucherville,30KM,02:56:48,F40-49
332,2016-06-05,COURSED’ÉTÉDESÎLESDEBOUCHERVILLE,DEMIMARATHON,02:38:07,F40-49
332,2016-04-10,CoursesThematiquesLetourdel'horloge,8KM,01:14:11,F40-49
332,2016-02-14,DemiMarathonHypothermique,DEMIMARATHON,02:45:05,F40-49
342,2016-08-28,MarathonSSQLévis-Québec,MARATHON,-1,M55-59
344,2016-06-05,Demi-MarathondesVignobles,21KM,02:03:26,M30-39
349,2016-08-21,VertleRaid-XCdelaVallee,TRANS-VALLEE,-1,M30-39
349,2016-08-21,VertleRaid-XCdelaVallee,21KM,03:08:53,M30-39
349,2016-08-20,VertleRaid-XCdelaVallee,35KM,-1,M30-39
349,2016-08-19,VertleRaid-XCdelaVallee,10KMDENUIT,01:04:00,M30-39
375,2016-06-05,GrandPrixCyclisteGatineau,GRANDFONDOGATINEAU111.8KM,-1,M30-39
383,2016-07-31,TrimemphréMagog,TRIATHLONSPRINT,01:37:31,F30-34
383,2016-07-03,Demi-MarathondeSherbrooke,10KM,00:55:59,F30-39
384,2016-08-28,MarathonSSQLévis-Québec,10KMOASIS,-1,M50-54
384,2016-06-12,DÉFIPIERREBRISE-BOIS,30KM,01:59:31,
384,2016-05-29,TamarackOttawaRaceWeekend,OTTAWAMARATHON,-1,M50-54
384,2016-05-22,CoursesThematiquesMarathonSSQdeLongueuil,10KM,00:34:38,M50-59
384,2016-04-24,BanqueScotia21KdeMontreal,DEMIMARATHON,-1,M50-54
393,2016-03-20,CourseetmarchepopulairesdeLaSalle,10KM,00:46:45,F40-49
394,2016-08-14,LaValsedescoureurs,10KM,00:45:57,M60-69
399,2016-08-07,MECOttawarace4-TheMECGatineauParkTrailRaces,50KM,06:09:48,F30-39
401,2016-08-13,SeaWheezeHalfMarathon,HALFMARATHON,01:51:01,Female
402,2016-08-17,Le5kmEndurance,5KM,00:18:30,M20-29
402,2016-07-15,Demi-MarathondelaBandeduCanal,10KM,-1,M20-29
403,2016-08-14,Demi-marathondeMont-Tremblant,DEMI-MARATHON,02:02:52,M30-39
410,2016-08-24,IronmanMont-Tremblant,OVERALLRESULTS,11:56:24,M30-34
410,2016-04-24,BanqueScotia21KdeMontreal,DEMIMARATHON,-1,M25-29
419,2016-05-29,TamarackOttawaRaceWeekend,OTTAWAHALFMARATHON,-1,M30-34
419,2016-04-10,CoursesThematiquesLetourdel'horloge,5KM,00:18:55,M30-39
420,2016-05-29,TamarackOttawaRaceWeekend,OTTAWAMARATHON,-1,M45-49
442,2016-05-29,TamarackOttawaRaceWeekend,OTTAWAMARATHON,-1,M55-59
442,2016-05-08,SportingLife10KOttawa,10KM,-1,M55-59
461,2016-09-10,Ultra-TrailHarricanaduCanada(UTHC),UTHC65,-1,M50-59
461,2016-05-29,TamarackOttawaRaceWeekend,OTTAWAMARATHON,-1,M50-54
468,2016-06-12,SubaruIronman70.3Victoria,INDIVIDUAL,05:38:00,M45-49
483,2016-06-27,Ironman70.3Mont-Tremblant,INDIVIDUEL,06:13:46,M35-39
483,2016-05-22,CoursesThematiquesMarathonSSQdeLongueuil,DEMIMARATHON,01:51:06,M30-39
486,2016-06-27,Ironman70.3Mont-Tremblant,INDIVIDUEL,05:06:56,M30-34
486,2016-06-12,TRIATHLONACADEMIESAINTE-THERESE,TRIATHLONSPRINT,01:12:51,M30-34
486,2016-05-22,CoursesThematiquesMarathonSSQdeLongueuil,DEMIMARATHON,01:24:38,M30-39
494,2016-05-01,GoodlifeFitnessTorontoMarathon,MARATHON,04:47:31,M45-49
510,2016-09-11,TriathlonEspritdeMontreal,TRIATHLONSPRINT,01:38:06,M25-29
510,2016-08-07,DéfiBoréalSainte-Anne-de-Bellevue,20KM,01:43:26,M50-59
526,2016-06-05,Demi-MarathondesVignobles,21KM,01:28:32,M30-39
539,2016-08-14,Demi-marathondeMont-Tremblant,DEMI-MARATHON,01:35:29,M30-39
549,2016-04-24,BanqueScotia21KdeMontreal,DEMIMARATHON,-1,M55-59
551,2016-08-24,IronmanMont-Tremblant,OVERALLRESULTS,12:14:18,F40-44
551,2016-06-27,Ironman70.3Mont-Tremblant,INDIVIDUEL,06:49:13,F40-44
557,2016-05-29,TamarackOttawaRaceWeekend,OTTAWAHALFMARATHON,-1,F35-39
573,2016-08-17,Le5kmEndurance,5KM,00:22:41,M40-49
580,2016-07-08,Le5et10kmduP'titTrainduNord,10KM,-1,M50-59
580,2016-05-08,AurythmedenosfouléesChâteauguay,DEMI-MARATHON,01:43:41,M50-59
586,2016-08-07,TriathlonInternationaldeMontreal,TRIATHLONSPRINT-SANSSILLONNAGE,01:51:54,F30-34
591,2016-04-30,MarathondesÉrables,5KM,00:34:34,M20-29
592,2016-05-29,TamarackOttawaRaceWeekend,OTTAWAMARATHON,-1,F50-54
592,2016-05-07,WakefieldCoveredBridgeRun,21.1KMTRAILRUN,02:04:40,F50-59
610,2016-06-05,BARRIEWATERFRONTHALFMARATHON,HALFMARATHON,01:48:14,M40-44
615,2016-05-29,TamarackOttawaRaceWeekend,OTTAWAMARATHON,-1,M45-49
624,2016-05-29,TamarackOttawaRaceWeekend,OTTAWAHALFMARATHON,-1,M35-39
